Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	been trying out croissants	5	Human 2	5, 9
2	4	i'm glad you have	9	Human 2	5, 13
2	2	have been	3	Human 2	5, 7
2	2	pastries made	7	Human 2	5, 11
4	1	have	9	Human 2	5, 7, 9, 13
4	1	i'm	9	Human 2	5, 9, 11, 13
4	1	the	9	Human 2	5, 7, 11, 13
4	1	you	9	Human 2	5, 7, 11, 13
3	1	all	7	Human 2	7, 11, 13
3	1	and	11	Human 2	3, 7, 13
3	1	but	5	Human 2	5, 7, 9
3	1	croissants	7	Human 2	3, 5, 9
3	1	made	9	Human 2	5, 11, 13
3	1	out	7	Human 2	5, 9, 11
3	1	pastries	9	Human 2	5, 11, 13
3	1	that	5	Human 2	9, 11, 13
3	1	to	7	Human 2	5, 9, 11
3	1	with	9	Human 2	5, 11, 13
2	1	a	7	Human 2	3, 9
2	1	butter	3	Human 2	11, 13
2	1	give	5	Human 2	7, 11
2	1	how	3	Human 2	7, 9
2	1	i	5	Human 2	3, 7
2	1	it's	5	Human 2	3, 7
2	1	of	7	Human 2	5, 11
2	1	try	3	Human 2	9, 11

