Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	2	. i	5	Human 1	4, 8
2	2	christmas eve	7	Human 1	4, 10
2	2	that .	5	Human 1	8, 12
5	1	i	9	Human 1	4, 6, 8, 10, 12
4	1	for	11	Human 1	2, 4, 8, 12
3	1	christmas	9	Human 1	2, 4, 10
3	1	is	11	Human 1	4, 10, 14
3	1	on	9	Human 1	4, 10, 12
3	1	the	5	Human 1	2, 4, 6
2	1	a	7	Human 1	6, 12
2	1	about	7	Human 1	8, 14
2	1	and	3	Human 1	2, 4
2	1	can	5	Human 1	8, 12
2	1	if	7	Human 1	2, 8
2	1	likewise	13	Human 1	2, 14
2	1	sure	5	Human 1	8, 12
2	1	that	5	Human 1	8, 12
2	1	then	5	Human 1	4, 8
2	1	to	3	Human 1	2, 4
2	1	would	9	Human 1	2, 10
2	1	you	11	Human 1	2, 12

