Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	13	sean carroll's "something deeply hidden: why quantum physics isn't rocket science" is a	5	Human 2	7, 11
2	6	sean carroll's "something deeply hidden" is	5	Human 2	13, 17
2	3	i don't have	3	Human 2	3, 5
4	2	quantum physics	9	Human 2	7, 9, 11, 15
3	2	is a	7	Human 2	5, 7, 11
2	2	book about	3	Human 2	15, 17
6	1	is	13	Human 2	5, 7, 11, 13, 15, 17
5	1	a	13	Human 2	5, 7, 11, 15, 17
5	1	carroll's	11	Human 2	7, 11, 13, 15, 17
4	1	the	9	Human 2	9, 13, 15, 17
3	1	book	11	Human 2	7, 15, 17
3	1	far	11	Human 2	3, 9, 13
3	1	how	15	Human 2	3, 9, 17
2	1	about	3	Human 2	15, 17
2	1	an	5	Human 2	3, 7
2	1	for	15	Human 2	3, 17
2	1	from	3	Human 2	13, 15
2	1	i'm	13	Human 2	5, 17
2	1	to	7	Human 2	9, 15
2	1	you	7	Human 2	3, 9

