Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	2	! what	3	Human 1	10, 12
2	2	have the	3	Human 1	6, 8
2	2	that !	3	Human 1	8, 10
4	1	a	13	Human 1	2, 4, 8, 14
4	1	that	7	Human 1	4, 6, 8, 10
4	1	you	7	Human 1	4, 6, 8, 10
3	1	i	13	Human 1	2, 8, 14
3	1	is	7	Human 1	8, 10, 14
3	1	of	9	Human 1	6, 12, 14
3	1	the	9	Human 1	6, 8, 14
3	1	to	7	Human 1	2, 6, 8
2	1	and	3	Human 1	6, 8
2	1	are	7	Human 1	4, 10
2	1	best	3	Human 1	8, 10
2	1	cake	5	Human 1	4, 8
2	1	chef	3	Human 1	2, 4
2	1	haha	5	Human 1	2, 6
2	1	have	3	Human 1	6, 8
2	1	how	5	Human 1	4, 8
2	1	in	5	Human 1	10, 14
2	1	very	3	Human 1	12, 14
2	1	work	5	Human 1	10, 14

