Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	eating what y'all have .	3	Human 2	9, 11
2	4	i'm not good at	7	Human 2	11, 17
2	4	you did meet them	3	Human 2	5, 7
2	2	i like	7	Human 2	11, 17
2	2	what's y'all	3	Human 2	13, 15
7	1	you	13	Human 2	1, 3, 5, 7, 9, 11, 13
4	1	not	7	Human 2	11, 13, 15, 17
3	1	eating	5	Human 2	9, 11, 13
3	1	good	7	Human 2	11, 13, 17
3	1	have	5	Human 2	9, 11, 13
3	1	i	7	Human 2	11, 13, 17
3	1	i'm	7	Human 2	11, 15, 17
3	1	like	7	Human 2	11, 13, 17
3	1	what	5	Human 2	9, 11, 13
2	1	and	13	Human 2	5, 17
2	1	are	9	Human 2	1, 9
2	1	but	5	Human 2	11, 15
2	1	do	9	Human 2	5, 13
2	1	hey	11	Human 2	1, 11
2	1	how	3	Human 2	1, 3
2	1	it	13	Human 2	5, 17
2	1	lol	5	Human 2	13, 17
2	1	pretty	3	Human 2	15, 17

