Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	! you see things sometimes	3	Human 2	7, 9
2	3	drift during meetings	3	Human 2	7, 9
2	3	is going well	3	Human 2	5, 7
2	3	you explore the	7	Human 2	11, 17
2	3	your social media	5	Human 2	11, 15
3	2	, and	7	Human 2	7, 9, 13
3	2	i don't	15	Human 2	3, 13, 17
3	2	social media	7	Human 2	9, 11, 15
2	2	, but	11	Human 2	3, 13
2	2	i'm glad	3	Human 2	5, 7
2	2	your day	5	Human 2	1, 5
8	1	and	15	Human 2	3, 5, 7, 9, 11, 13, 15, 17
6	1	your	15	Human 2	1, 5, 7, 11, 13, 15
5	1	i	15	Human 2	3, 5, 11, 13, 17
4	1	going	11	Human 2	1, 5, 7, 11
4	1	i'm	11	Human 2	3, 5, 7, 13
4	1	the	15	Human 2	3, 9, 11, 17
4	1	you	11	Human 2	7, 9, 11, 17
3	1	just	5	Human 2	13, 15, 17
3	1	meetings	5	Human 2	5, 7, 9
3	1	see	5	Human 2	7, 9, 11
3	1	sometimes	9	Human 2	7, 9, 15
3	1	that	13	Human 2	5, 15, 17
3	1	to	7	Human 2	5, 7, 11
2	1	an	11	Human 2	3, 13
2	1	can	9	Human 2	7, 15
2	1	diving	3	Human 2	13, 15
2	1	from	3	Human 2	9, 11
2	1	in	3	Human 2	3, 5
2	1	love	7	Human 2	5, 11
2	1	offbeat	3	Human 2	7, 9
2	1	that's	5	Human 2	13, 17
2	1	with	3	Human 2	15, 17
2	1	would	7	Human 2	11, 17
2	1	you're	7	Human 2	5, 11

