Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	2	! i	11	Human 1	2, 12
2	2	great !	5	Human 1	4, 8
2	2	still in	5	Human 1	4, 8
2	2	time to	5	Human 1	8, 12
2	2	was the	5	Human 1	2, 6
4	1	the	9	Human 1	2, 6, 8, 10
3	1	and	7	Human 1	2, 4, 8
3	1	for	11	Human 1	2, 8, 12
3	1	i	11	Human 1	2, 10, 12
3	1	you	11	Human 1	2, 4, 12
2	1	hehe	5	Human 1	6, 10
2	1	how	5	Human 1	2, 6
2	1	is	7	Human 1	4, 10
2	1	long	5	Human 1	2, 6
2	1	planning	3	Human 1	8, 10
2	1	quarter	3	Human 1	8, 10
2	1	to	5	Human 1	8, 12
2	1	tomorrow	3	Human 1	12, 14
2	1	we	5	Human 1	8, 12
2	1	work	3	Human 1	10, 12
2	1	yeah	9	Human 1	2, 10

