Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	for next month	3	Human 2	13, 15
3	2	next month	5	Human 2	11, 13, 15
2	2	what's the	5	Human 2	7, 11
6	1	the	13	Human 2	3, 5, 7, 11, 13, 15
4	1	i	11	Human 2	3, 5, 7, 13
4	1	you	11	Human 2	5, 11, 13, 15
3	1	for	5	Human 2	11, 13, 15
3	1	month	5	Human 2	11, 13, 15
2	1	and	3	Human 2	5, 7
2	1	be	5	Human 2	7, 11
2	1	can	3	Human 2	13, 15
2	1	is	11	Human 2	5, 15
2	1	of	3	Human 2	3, 5
2	1	race	5	Human 2	7, 11
2	1	time	7	Human 2	5, 11
2	1	up	9	Human 2	5, 13

