Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	3	enjoy the journey	19	2	1	Human 1	18, 19
3	3	2	be a	9	5	1	Human 1	6, 9, 10
2	2	2	i think	17	6	1	Human 1	12, 17
2	2	2	that you	16	4	1	Human 2	13, 16
2	2	2	you can	14	6	1	Human 2	9, 14
2	2	2	you have	16	4	1	Human 2	13, 16
10	7	1	a	9	16	2	Human 1	4, 6, 9, 10, 11, 13, 15, 17, 18, 19
10	10	1	to	16	18	7	Human 2	3, 5, 7, 9, 11, 13, 15, 16, 18, 20
10	8	1	you	14	18	6	Human 2	3, 5, 7, 9, 11, 13, 14, 15, 16, 20
9	7	1	i	10	15	3	Human 2	3, 5, 9, 10, 12, 13, 15, 16, 17
7	4	1	be	6	14	1	Human 2	5, 6, 9, 10, 16, 17, 18
6	5	1	can	14	15	3	Human 2	3, 5, 9, 14, 15, 17
5	5	1	and	18	15	3	Human 2	5, 9, 15, 18, 19
5	5	1	what	20	18	4	Human 2	3, 7, 11, 13, 20
5	5	1	with	16	15	3	Human 2	5, 7, 9, 16, 19
4	4	1	do	20	18	3	Human 2	3, 5, 13, 20
4	4	1	i'm	3	6	1	Human 1	2, 3, 6, 7
4	4	1	of	13	5	1	Human 1	12, 13, 15, 16
4	2	1	that	14	5	1	Human 2	13, 14, 16, 17
3	3	1	biology	7	4	1	Human 1	6, 7, 9
3	1	1	enjoy	20	3	1	Human 1	18, 19, 20
3	3	1	is	14	10	2	Human 2	5, 13, 14
3	3	1	it	16	16	2	Human 2	1, 5, 16
3	1	1	the	18	11	1	Human 2	9, 18, 19
3	3	1	today	3	6	1	Human 1	2, 3, 7
2	2	1	actually	17	10	1	Human 1	8, 17
2	2	1	for	18	16	1	Human 2	3, 18
2	2	1	haha	17	10	1	Human 1	8, 17
2	2	1	one	19	4	1	Human 1	16, 19
2	2	1	practice	15	2	1	Human 1	14, 15
2	2	1	things	19	4	1	Human 1	16, 19

