Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	! did you have any	3	Human 2	13, 15
2	5	, i don't have personal	3	Human 2	3, 5
4	1	i	9	Human 2	3, 5, 7, 11
4	1	or	11	Human 2	3, 5, 7, 13
3	1	a	7	Human 2	5, 7, 11
3	1	with	9	Human 2	7, 11, 15
3	1	you	9	Human 2	7, 13, 15
2	1	can	5	Human 2	7, 11
2	1	fun	5	Human 2	11, 15
2	1	funny	7	Human 2	7, 13
2	1	games	3	Human 2	13, 15
2	1	it	3	Human 2	9, 11
2	1	just	3	Human 2	3, 5
2	1	like	3	Human 2	5, 7
2	1	that	3	Human 2	13, 15
2	1	the	3	Human 2	13, 15
2	1	things	3	Human 2	11, 13

