Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	about you ?	5	Human 1	2, 6
5	2	. i	13	Human 1	2, 6, 8, 10, 14
2	2	, and	9	Human 1	6, 14
2	2	i love	5	Human 1	4, 8
2	2	i think	9	Human 1	2, 10
2	2	i would	5	Human 1	2, 6
2	2	ice cream	3	Human 1	4, 6
2	2	more than	5	Human 1	6, 10
2	2	that's a	13	Human 1	2, 14
6	1	i	13	Human 1	2, 4, 6, 8, 10, 14
5	1	you	13	Human 1	0, 2, 6, 8, 12
3	1	and	9	Human 1	6, 8, 14
3	1	the	7	Human 1	6, 10, 12
3	1	to	15	Human 1	0, 6, 14
2	1	a	13	Human 1	2, 14
2	1	cream	3	Human 1	4, 6
2	1	do	3	Human 1	6, 8
2	1	experience	3	Human 1	12, 14
2	1	in	7	Human 1	8, 14
2	1	nice	9	Human 1	0, 8
2	1	of	9	Human 1	6, 14
2	1	what	11	Human 1	2, 12

