Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	do you think	3	Human 1	2, 4
2	2	far fetched	9	Human 1	6, 14
4	1	far	9	Human 1	6, 8, 10, 14
4	1	the	9	Human 1	4, 8, 10, 12
3	1	do	11	Human 1	2, 4, 12
3	1	like	9	Human 1	2, 6, 10
3	1	think	9	Human 1	2, 4, 10
3	1	you	13	Human 1	2, 4, 14
2	1	and	3	Human 1	8, 10
2	1	bots	7	Human 1	2, 8
2	1	good	5	Human 1	8, 12
2	1	how	3	Human 1	8, 10
2	1	i	3	Human 1	8, 10
2	1	it	5	Human 1	6, 10
2	1	of	3	Human 1	8, 10
2	1	pretty	3	Human 1	12, 14
2	1	some	5	Human 1	4, 8
2	1	to	7	Human 1	4, 10
2	1	we	5	Human 1	4, 8

