Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	a lot .	5	Human 1	10, 14
2	2	! what	3	Human 1	2, 4
2	2	, i	3	Human 1	8, 10
2	2	a lot	5	Human 1	10, 14
2	2	do you	11	Human 1	6, 16
2	2	my name	9	Human 1	2, 10
6	1	to	11	Human 1	2, 4, 6, 8, 10, 12
5	1	you	15	Human 1	2, 4, 6, 10, 16
4	1	my	9	Human 1	2, 4, 8, 10
4	1	what	11	Human 1	2, 4, 6, 12
3	1	do	11	Human 1	6, 8, 16
3	1	i	7	Human 1	8, 10, 14
3	1	is	11	Human 1	2, 10, 12
2	1	and	11	Human 1	4, 14
2	1	are	13	Human 1	2, 14
2	1	but	3	Human 1	8, 10
2	1	have	7	Human 1	10, 16
2	1	in	5	Human 1	10, 14
2	1	now	5	Human 1	8, 12
2	1	on	7	Human 1	8, 14
2	1	pikachu	9	Human 1	2, 10
2	1	the	7	Human 1	4, 10

