Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	went diving in australia	13	2	1	Human 1	12, 13
3	3	3	your day going	2	3	1	Human 2	1, 2, 3
2	2	3	be going to	11	2	1	Human 1	10, 11
4	2	2	going to	10	9	1	Human 2	5, 10, 11, 13
3	3	2	the world	11	10	1	Human 1	8, 11, 17
2	2	2	. you're	5	2	1	Human 1	4, 5
2	2	2	all places	11	2	1	Human 1	10, 11
2	2	2	i just	13	2	1	Human 1	12, 13
10	9	1	i	3	16	1	Human 1	2, 3, 4, 5, 6, 12, 13, 14, 15, 17
7	7	1	you	8	16	1	Human 2	3, 8, 9, 10, 12, 16, 18
6	2	1	to	4	11	1	Human 2	3, 4, 5, 10, 11, 13
5	5	1	and	5	10	1	Human 1	4, 5, 6, 11, 13
5	3	1	just	12	12	2	Human 2	3, 5, 12, 13, 14
5	2	1	your	5	12	1	Human 2	1, 2, 3, 5, 12
4	1	1	day	14	14	1	Human 2	1, 2, 3, 14
4	2	1	places	13	5	1	Human 1	10, 11, 13, 14
3	3	1	a	12	14	1	Human 2	5, 12, 18
3	3	1	are	18	14	2	Human 2	5, 13, 18
3	1	1	in	13	8	2	Human 1	6, 12, 13
3	3	1	that	13	5	1	Human 1	12, 13, 16
3	3	1	too	12	9	1	Human 2	5, 12, 13
3	3	1	what	10	5	1	Human 2	9, 10, 13
3	3	1	with	17	6	2	Human 1	12, 16, 17
3	1	1	you're	13	10	1	Human 1	4, 5, 13
2	1	1	be	11	2	1	Human 1	10, 11
2	2	1	because	13	2	1	Human 1	12, 13
2	2	1	been	5	2	1	Human 1	4, 5
2	2	1	don't	13	2	1	Human 1	12, 13
2	2	1	from	11	4	1	Human 1	8, 11
2	2	1	it's	14	12	1	Human 2	3, 14
2	2	1	know	16	4	1	Human 2	13, 16
2	2	1	lucky	5	2	1	Human 1	4, 5
2	2	1	share	17	2	1	Human 1	16, 17
2	2	1	that's	14	10	1	Human 2	5, 14
2	2	1	thumbs	5	2	1	Human 1	4, 5
2	2	1	twiddle	5	2	1	Human 1	4, 5

