Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	3	how are you	2	2	1	Human 2	1, 2
3	1	2	are you	4	4	1	Human 2	1, 2, 4
2	2	2	. i	10	8	1	Human 2	3, 10
2	2	2	but i	15	6	1	Human 1	10, 15
2	2	2	hi !	1	2	1	Human 1	0, 1
2	2	2	hot chocolate	7	2	1	Human 1	6, 7
2	2	2	i'm doing	3	2	1	Human 1	2, 3
2	2	2	nights .	9	2	1	Human 1	8, 9
9	8	1	i	6	13	2	Human 2	3, 5, 6, 7, 9, 10, 11, 13, 15
8	8	1	have	6	13	1	Human 2	3, 6, 8, 9, 10, 11, 13, 15
8	6	1	you	3	10	1	Human 2	1, 2, 3, 4, 5, 6, 8, 10
7	7	1	and	10	11	3	Human 2	5, 7, 9, 10, 11, 13, 15
6	5	1	i'm	3	14	1	Human 1	2, 3, 5, 7, 9, 15
5	5	1	a	11	11	2	Human 1	4, 10, 11, 12, 14
4	1	1	are	5	5	1	Human 2	1, 2, 4, 5
4	2	1	doing	2	8	1	Human 2	1, 2, 3, 8
4	4	1	for	8	9	1	Human 2	3, 8, 9, 11
4	2	1	hot	8	6	1	Human 1	6, 7, 8, 11
4	4	1	or	7	12	1	Human 1	4, 7, 9, 15
4	4	1	to	13	4	1	Human 1	12, 13, 14, 15
3	3	1	enjoy	9	4	1	Human 1	8, 9, 11
3	3	1	it's	13	8	2	Human 1	6, 8, 13
3	3	1	like	5	3	1	Human 1	4, 5, 6
3	3	1	people	10	7	1	Human 2	5, 10, 11
2	1	1	chocolate	7	2	1	Human 1	6, 7
2	2	1	coffee	5	2	1	Human 1	4, 5
2	2	1	cold	9	2	1	Human 1	8, 9
2	2	1	group	15	2	1	Human 1	14, 15
2	2	1	of	11	6	1	Human 1	6, 11
2	2	1	tea	5	2	1	Human 1	4, 5
2	2	1	these	13	6	1	Human 1	8, 13
2	2	1	tubing	11	2	1	Human 1	10, 11

