Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	family and friends	11	Human 1	2, 12
3	2	. i	9	Human 1	8, 10, 16
3	2	i think	7	Human 1	6, 8, 12
2	2	great !	5	Human 1	4, 8
2	2	i guess	9	Human 1	2, 10
7	1	i	15	Human 1	2, 4, 6, 8, 10, 12, 16
6	1	a	15	Human 1	4, 10, 12, 14, 16, 18
4	1	of	15	Human 1	2, 8, 10, 16
4	1	with	11	Human 1	2, 6, 10, 12
3	1	and	13	Human 1	2, 12, 14
3	1	is	5	Human 1	8, 10, 12
3	1	it	9	Human 1	10, 16, 18
3	1	that	7	Human 1	6, 10, 12
3	1	this	7	Human 1	6, 8, 12
3	1	to	15	Human 1	4, 12, 18
3	1	work	11	Human 1	2, 10, 12
3	1	you	11	Human 1	2, 6, 12
2	1	actually	7	Human 1	10, 16
2	1	do	3	Human 1	2, 4
2	1	for	7	Human 1	2, 8
2	1	have	5	Human 1	2, 6
2	1	help	5	Human 1	4, 8
2	1	how	3	Human 1	4, 6
2	1	idea	3	Human 1	4, 6
2	1	may	7	Human 1	12, 18
2	1	much	15	Human 1	2, 16
2	1	new	9	Human 1	4, 12
2	1	on	11	Human 1	2, 12
2	1	out	15	Human 1	4, 18
2	1	so	9	Human 1	4, 12
2	1	the	3	Human 1	6, 8
2	1	very	13	Human 1	2, 14

