Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	3	how are you	2	2	1	Human 2	1, 2
2	2	3	what are you	7	4	1	Human 1	4, 7
2	2	2	. which	9	2	1	Human 1	8, 9
2	2	2	nice !	11	2	1	Human 1	10, 11
8	4	1	you	3	12	1	Human 2	1, 2, 3, 4, 7, 10, 11, 12
6	6	1	i	3	8	1	Human 1	2, 3, 4, 5, 6, 9
5	1	1	are	12	12	1	Human 2	1, 2, 4, 7, 12
5	5	1	work	5	8	1	Human 1	4, 5, 9, 10, 11
4	2	1	how	3	11	1	Human 2	1, 2, 3, 11
4	4	1	on	4	7	1	Human 2	3, 4, 6, 9
3	3	1	research	9	4	1	Human 1	8, 9, 11
3	3	1	to	10	7	1	Human 2	5, 10, 11
3	1	1	what	11	8	1	Human 1	4, 7, 11
3	3	1	your	8	9	1	Human 2	3, 8, 11
2	2	1	of	9	6	1	Human 1	4, 9
2	2	1	speech	9	2	1	Human 1	8, 9
2	2	1	topic	9	2	1	Human 1	8, 9

