Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	. i have	11	Human 2	5, 15
2	3	i have a	5	Human 2	5, 9
4	2	i have	11	Human 2	5, 9, 13, 15
2	2	. it's	3	Human 2	5, 7
2	2	a lot	5	Human 2	5, 9
2	2	a week	3	Human 2	3, 5
2	2	the survivors	5	Human 2	13, 17
7	1	i	13	Human 2	5, 7, 9, 11, 13, 15, 17
5	1	what	9	Human 2	7, 9, 11, 13, 15
4	1	a	11	Human 2	3, 5, 9, 13
4	1	to	13	Human 2	5, 9, 11, 17
3	1	about	7	Human 2	11, 13, 17
3	1	it's	11	Human 2	5, 7, 15
3	1	read	7	Human 2	7, 9, 13
3	1	that	9	Human 2	7, 13, 15
3	1	the	5	Human 2	13, 15, 17
2	1	be	11	Human 2	3, 13
2	1	going	13	Human 2	5, 17
2	1	in	3	Human 2	15, 17
2	1	is	5	Human 2	9, 13
2	1	reading	3	Human 2	5, 7
2	1	something	5	Human 2	13, 17
2	1	week	3	Human 2	3, 5
2	1	work	3	Human 2	3, 5
2	1	you	5	Human 2	7, 11

