Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	5	not a fan of kale	9	4	1	Human 1	6, 9
2	2	3	what's your favorite	9	2	1	Human 1	8, 9
3	3	2	you have	4	5	1	Human 2	3, 4, 7
2	2	2	language then	9	2	1	Human 1	8, 9
2	2	2	something fun	3	4	1	Human 1	0, 3
2	2	2	yes !	11	2	1	Human 1	10, 11
7	5	1	you	1	12	1	Human 1	0, 1, 3, 4, 6, 7, 11
5	5	1	answer	3	8	1	Human 1	2, 3, 5, 7, 9
5	2	1	have	5	7	1	Human 2	3, 4, 5, 7, 9
5	5	1	i	4	9	1	Human 2	1, 4, 5, 6, 9
5	3	1	kale	5	6	1	Human 1	4, 5, 6, 7, 9
5	5	1	lol	3	11	1	Human 1	2, 3, 7, 9, 12
5	5	1	the	5	8	1	Human 1	4, 5, 7, 9, 11
4	2	1	a	9	8	3	Human 1	2, 4, 6, 9
4	4	1	can	4	11	1	Human 2	1, 4, 7, 11
4	4	1	for	3	8	1	Human 1	0, 3, 5, 7
4	4	1	to	6	7	2	Human 2	1, 3, 6, 7
3	1	1	not	6	9	1	Human 2	1, 6, 9
3	3	1	really	3	5	1	Human 1	2, 3, 6
3	1	1	your	8	3	1	Human 2	7, 8, 9
2	2	1	about	7	4	1	Human 1	4, 7
2	2	1	like	3	2	1	Human 1	2, 3
2	2	1	more	7	2	1	Human 1	6, 7
2	2	1	planning	1	2	1	Human 1	0, 1
2	2	1	robot	7	6	1	Human 1	2, 7
2	2	1	talk	7	2	1	Human 1	6, 7
2	2	1	theme	7	4	1	Human 1	4, 7

