Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
3	3	2	. i	6	6	1	Human 2	5, 6, 10
3	3	2	for the	11	7	1	Human 1	6, 11, 12
2	2	2	i have	12	2	1	Human 2	11, 12
2	2	2	i think	5	2	1	Human 1	4, 5
2	2	2	i'll be	13	8	1	Human 1	6, 13
2	2	2	i'm getting	7	4	1	Human 1	4, 7
2	2	2	you should	5	2	1	Human 1	4, 5
8	5	1	the	5	10	1	Human 1	4, 5, 6, 7, 9, 11, 12, 13
6	3	1	for	7	10	2	Human 1	4, 6, 7, 11, 12, 13
6	5	1	i	5	9	1	Human 1	4, 5, 6, 10, 11, 12
5	5	1	a	9	8	2	Human 1	4, 6, 9, 10, 11
5	3	1	have	11	7	3	Human 1	6, 8, 10, 11, 12
5	4	1	i'm	4	7	1	Human 2	3, 4, 5, 7, 9
5	5	1	so	9	9	2	Human 1	4, 6, 9, 10, 12
5	5	1	to	10	9	1	Human 2	5, 10, 11, 12, 13
4	4	1	cold	5	6	1	Human 1	4, 5, 7, 9
4	4	1	of	11	9	2	Human 1	4, 6, 11, 12
4	4	1	this	7	6	1	Human 1	6, 7, 9, 11
4	3	1	you	4	6	1	Human 2	3, 4, 5, 8
3	1	1	be	13	8	2	Human 1	6, 10, 13
3	3	1	been	7	8	1	Human 1	2, 7, 9
3	3	1	has	7	8	1	Human 1	2, 7, 9
3	3	1	me	7	6	1	Human 1	6, 7, 11
3	3	1	sick	9	6	2	Human 1	4, 6, 9
2	2	1	all	5	2	1	Human 1	4, 5
2	2	1	beaches	13	2	1	Human 1	12, 13
2	2	1	big	11	4	1	Human 1	8, 11
2	2	1	budget	11	6	1	Human 1	6, 11
2	2	1	december	13	10	1	Human 1	4, 13
2	2	1	even	7	2	1	Human 1	6, 7
2	2	1	going	13	4	1	Human 1	10, 13
2	2	1	good	10	10	1	Human 2	1, 10
2	2	1	hawaii	13	4	1	Human 1	10, 13
2	2	1	hi	3	4	1	Human 1	0, 3
2	2	1	how	3	2	1	Human 1	2, 3
2	2	1	out	11	8	1	Human 1	4, 11
2	2	1	part	7	2	1	Human 1	6, 7
2	2	1	place	11	2	1	Human 1	10, 11
2	2	1	put	11	2	1	Human 1	10, 11
2	2	1	wasn't	7	2	1	Human 1	6, 7
2	2	1	week	9	8	1	Human 1	2, 9
2	2	1	would	11	6	1	Human 1	6, 11

