Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	3	different from what	9	2	1	Human 1	8, 9
2	2	3	earn a life	9	2	1	Human 1	8, 9
3	1	2	different from	11	4	1	Human 1	8, 9, 11
2	2	2	a lot	14	10	1	Human 2	5, 14
2	2	2	a painter	11	2	1	Human 1	10, 11
8	8	1	i	5	14	1	Human 1	2, 5, 8, 10, 11, 12, 14, 15
7	2	1	a	5	11	1	Human 1	4, 5, 8, 9, 10, 11, 14
6	6	1	to	4	13	1	Human 2	3, 4, 7, 8, 13, 15
5	2	1	different	14	8	1	Human 1	8, 9, 11, 14, 15
5	2	1	from	9	14	2	Human 1	2, 8, 9, 11, 15
5	5	1	is	8	9	2	Human 2	3, 7, 8, 9, 11
5	5	1	the	7	10	1	Human 1	4, 7, 9, 11, 13
4	4	1	i'm	4	7	1	Human 2	3, 4, 7, 9
4	4	1	just	3	8	1	Human 1	2, 3, 7, 9
3	1	1	life	11	4	1	Human 1	8, 9, 11
3	3	1	of	7	11	1	Human 1	4, 7, 14
3	1	1	what	11	4	1	Human 1	8, 9, 11
3	3	1	work	3	8	1	Human 1	2, 3, 9
2	2	1	clients	5	2	1	Human 1	4, 5
2	2	1	day	5	2	1	Human 1	4, 5
2	2	1	doing	9	2	1	Human 1	8, 9
2	2	1	hi	1	2	1	Human 1	0, 1
2	2	1	lawyer	9	6	1	Human 1	4, 9
2	2	1	most	9	6	1	Human 1	4, 9
2	2	1	oil	13	2	1	Human 1	12, 13
2	2	1	painting	15	4	1	Human 1	12, 15
2	2	1	talking	5	2	1	Human 1	4, 5
2	2	1	tired	3	2	1	Human 1	2, 3

