Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	9	i already gave up on cleaning emails long ago	5	2	1	Human 1	4, 5
2	2	4	i'm doing well .	5	4	1	Human 1	2, 5
2	2	3	a little bit	7	2	1	Human 1	6, 7
2	2	3	like action movies	11	4	1	Human 1	8, 11
4	2	2	cleaning emails	7	6	1	Human 1	4, 5, 7, 9
3	3	2	are you	2	3	1	Human 2	1, 2, 3
3	1	2	doing well	7	6	1	Human 1	2, 5, 7
3	3	2	movies but	10	3	1	Human 2	9, 10, 11
2	2	2	? i	10	6	1	Human 2	5, 10
2	2	2	it's touching	15	4	1	Human 1	12, 15
2	2	2	the end	13	2	1	Human 1	12, 13
2	2	2	you didn't	17	2	1	Human 1	16, 17
2	2	2	you like	9	2	1	Human 1	8, 9
10	3	1	you	6	17	1	Human 2	1, 2, 3, 6, 7, 8, 9, 15, 16, 17
7	4	1	but	7	12	1	Human 1	6, 7, 9, 10, 11, 13, 17
7	4	1	i	9	13	1	Human 1	4, 5, 9, 10, 11, 12, 16
6	3	1	doing	2	7	1	Human 2	1, 2, 3, 5, 6, 7
4	1	1	are	7	7	1	Human 2	1, 2, 3, 7
4	2	1	i'm	3	6	1	Human 1	2, 3, 5, 7
4	3	1	it's	15	10	3	Human 1	6, 12, 14, 15
4	3	1	the	13	6	1	Human 1	12, 13, 15, 17
4	4	1	what	13	12	3	Human 1	2, 6, 10, 13
3	1	1	a	10	5	1	Human 1	6, 7, 10
3	1	1	action	9	4	1	Human 1	8, 9, 11
3	3	1	ending	15	4	1	Human 1	14, 15, 17
3	3	1	forget	15	6	1	Human 1	12, 15, 17
3	3	1	happened	11	4	1	Human 1	10, 11, 13
3	3	1	it	16	5	1	Human 2	13, 16, 17
3	1	1	like	9	4	1	Human 1	8, 9, 11
3	3	1	never	11	4	1	Human 1	10, 11, 13
3	3	1	not	14	9	1	Human 2	7, 14, 15
3	3	1	that	12	9	1	Human 2	7, 12, 15
3	3	1	that's	13	14	1	Human 1	4, 13, 17
3	1	1	touching	13	4	1	Human 1	12, 13, 15
3	1	1	up	5	4	2	Human 1	2, 4, 5
3	3	1	will	13	4	1	Human 1	12, 13, 15
2	2	1	cool	9	2	1	Human 1	8, 9
2	2	1	enjoy	9	4	1	Human 1	6, 9
2	2	1	full	11	2	1	Human 1	10, 11
2	2	1	hi	1	2	1	Human 1	0, 1
2	2	1	of	10	8	1	Human 2	3, 10
2	2	1	oh	14	2	1	Human 2	13, 14
2	2	1	one	11	2	1	Human 1	10, 11
2	2	1	then	17	2	1	Human 1	16, 17
2	2	1	there	13	4	1	Human 1	10, 13
2	2	1	work	6	4	1	Human 2	3, 6
2	2	1	wow	9	6	1	Human 1	4, 9

