Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	4	, but i can	5	Human 2	5, 7, 9
3	3	i'm phi ,	7	Human 2	3, 7, 9
2	3	help you find	3	Human 2	5, 7
2	3	i don't have	5	Human 2	3, 7
4	2	, but	7	Human 2	3, 5, 7, 9
2	2	peter thiel	3	Human 2	9, 11
2	2	zero to	3	Human 2	9, 11
5	1	you	13	Human 2	1, 5, 7, 9, 13
4	1	i'm	7	Human 2	3, 5, 7, 9
4	1	the	9	Human 2	5, 7, 11, 13
3	1	and	11	Human 2	3, 11, 13
3	1	are	11	Human 2	1, 5, 11
3	1	great	7	Human 2	5, 9, 11
3	1	have	9	Human 2	3, 7, 11
3	1	to	5	Human 2	9, 11, 13
2	1	about	3	Human 2	11, 13
2	1	ai	5	Human 2	3, 7
2	1	book	3	Human 2	7, 9
2	1	by	7	Human 2	3, 9
2	1	how	9	Human 2	1, 9
2	1	reading	3	Human 2	5, 7
2	1	that	3	Human 2	9, 11

