Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	people whose lives suck	3	2	1	Human 1	2, 3
2	2	3	believe in miracles	4	4	1	Human 2	1, 4
3	3	2	. i	11	10	2	Human 1	2, 6, 11
3	1	2	believe in	5	5	1	Human 2	1, 4, 5
3	3	2	people who	10	6	2	Human 2	5, 7, 10
2	2	2	, i	4	2	1	Human 2	3, 4
2	2	2	grew up	13	4	1	Human 1	10, 13
2	2	2	growing up	11	4	1	Human 1	8, 11
2	2	2	i got	11	8	1	Human 1	4, 11
2	2	2	i know	3	2	1	Human 1	2, 3
2	2	2	of them	4	2	1	Human 2	3, 4
2	2	2	through the	7	2	1	Human 1	6, 7
2	2	2	you can	7	4	1	Human 1	4, 7
8	7	1	you	4	11	1	Human 2	1, 4, 5, 6, 7, 9, 10, 11
6	4	1	i	3	12	1	Human 1	2, 3, 4, 6, 11, 13
6	5	1	of	4	9	1	Human 2	3, 4, 5, 6, 7, 11
5	5	1	a	6	10	2	Human 2	3, 5, 6, 8, 12
5	5	1	have	8	9	2	Human 2	3, 7, 8, 9, 11
5	3	1	in	5	13	1	Human 2	1, 4, 5, 10, 13
5	5	1	it's	5	6	1	Human 1	4, 5, 6, 7, 9
5	1	1	people	10	9	1	Human 1	2, 3, 5, 7, 10
4	4	1	and	7	6	1	Human 1	6, 7, 9, 11
4	4	1	out	5	8	1	Human 1	4, 5, 7, 11
4	3	1	the	7	8	1	Human 1	6, 7, 9, 13
4	4	1	to	10	6	3	Human 2	5, 7, 9, 10
4	4	1	too	3	4	1	Human 1	2, 3, 4, 5
4	1	1	up	11	6	2	Human 1	8, 10, 11, 13
4	1	1	who	5	7	1	Human 1	4, 5, 7, 10
3	3	1	get	7	4	1	Human 1	6, 7, 9
3	1	1	got	5	8	1	Human 1	4, 5, 11
3	3	1	help	5	4	1	Human 1	4, 5, 7
3	3	1	it	10	8	2	Human 2	3, 5, 10
3	3	1	not	7	5	1	Human 1	6, 7, 10
3	1	1	them	5	3	1	Human 2	3, 4, 5
3	3	1	what	9	6	1	Human 1	6, 9, 11
3	3	1	with	11	4	1	Human 1	10, 11, 13
2	2	1	about	9	4	1	Human 1	6, 9
2	2	1	change	7	4	1	Human 1	4, 7
2	2	1	did	11	2	1	Human 1	10, 11
2	2	1	good	9	4	1	Human 1	6, 9
2	2	1	if	5	2	1	Human 1	4, 5
2	2	1	much	6	2	1	Human 2	5, 6
2	2	1	no	5	4	1	Human 1	2, 5
2	2	1	right	9	4	1	Human 1	6, 9
2	2	1	their	12	10	1	Human 2	3, 12
2	2	1	things	11	2	1	Human 1	10, 11

