Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	7	if there isn't one then you should	3	Human 2	13, 15
2	5	and i'm sad to say	3	Human 2	3, 5
3	3	and i'm sad	5	Human 2	3, 5, 7
2	3	millions right now	3	Human 2	13, 15
2	3	zipline the tree	3	Human 2	13, 15
3	2	right now	5	Human 2	11, 13, 15
6	1	you	15	Human 2	1, 7, 9, 11, 13, 15
5	1	and	13	Human 2	3, 5, 7, 13, 15
4	1	i'm	9	Human 2	3, 5, 7, 11
4	1	to	9	Human 2	3, 5, 7, 11
4	1	zipline	7	Human 2	9, 11, 13, 15
3	1	if	5	Human 2	11, 13, 15
3	1	tree	5	Human 2	11, 13, 15
2	1	going	3	Human 2	5, 7
2	1	the	3	Human 2	13, 15
2	1	tried	3	Human 2	5, 7

