Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	8	i'm phi , an ai , so i	3	Human 2	7, 9
3	5	i'm phi , an ai	7	Human 2	3, 7, 9
2	5	, so i don't drink	3	Human 2	5, 7
2	4	. however , i	5	Human 2	5, 9
2	4	i don't have personal	3	Human 2	11, 13
5	3	i'm phi ,	9	Human 2	3, 5, 7, 9, 11
3	3	an ai ,	9	Human 2	7, 9, 15
2	3	during cold times	5	Human 2	9, 13
2	3	for people during	3	Human 2	11, 13
2	3	personal enjoyments or	5	Human 2	9, 13
6	2	i'm phi	13	Human 2	3, 5, 7, 9, 11, 15
2	2	, but	3	Human 2	13, 15
2	2	but i	9	Human 2	7, 15
2	2	like you	3	Human 2	7, 9
6	1	i'm	13	Human 2	3, 5, 7, 9, 11, 15
5	1	or	9	Human 2	5, 7, 9, 11, 13
5	1	you	15	Human 2	1, 3, 7, 9, 15
4	1	like	11	Human 2	5, 7, 9, 15
3	1	activities	5	Human 2	11, 13, 15
3	1	and	11	Human 2	5, 11, 15
3	1	are	13	Human 2	1, 11, 13
3	1	for	11	Human 2	3, 11, 13
3	1	have	5	Human 2	9, 11, 13
3	1	skiing	5	Human 2	11, 13, 15
2	1	can	3	Human 2	5, 7
2	1	doing	3	Human 2	1, 3
2	1	how	3	Human 2	1, 3
2	1	these	3	Human 2	11, 13
2	1	to	13	Human 2	3, 15

