Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	i'm a food person	10	2	1	Human 2	9, 10
3	1	3	a food person	9	3	1	Human 1	8, 9, 10
4	1	2	a food	11	4	1	Human 1	8, 9, 10, 11
2	2	2	. any	11	2	1	Human 1	10, 11
2	2	2	my favorite	13	2	1	Human 1	12, 13
2	2	2	taco fish	13	2	1	Human 1	12, 13
7	5	1	a	8	9	3	Human 2	3, 5, 7, 8, 9, 10, 11
6	6	1	i	6	8	2	Human 2	3, 5, 6, 7, 9, 10
4	1	1	food	9	4	1	Human 1	8, 9, 10, 11
4	2	1	i'm	11	5	1	Human 2	9, 10, 11, 13
3	1	1	any	11	8	2	Human 1	4, 10, 11
3	3	1	new	3	4	1	Human 1	2, 3, 5
3	1	1	person	9	3	1	Human 1	8, 9, 10
2	2	1	anything	3	2	1	Human 1	2, 3
2	2	1	been	7	2	1	Human 1	6, 7
2	2	1	hey	2	2	1	Human 2	1, 2
2	2	1	on	10	4	1	Human 2	7, 10
2	2	1	planning	11	2	1	Human 1	10, 11
2	2	1	trying	13	4	1	Human 1	10, 13
2	2	1	you	9	2	1	Human 1	8, 9
2	2	1	you're	11	2	1	Human 1	10, 11

