Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	13	i'm just an ai , i don't have access to real-time information on	3	Human 2	9, 11
3	6	i'm just an ai , i	5	Human 2	7, 9, 11
4	5	i'm just an ai ,	7	Human 2	5, 7, 9, 11
2	5	i can't provide information on	3	Human 2	5, 7
5	4	i'm just an ai	9	Human 2	5, 7, 9, 11, 13
2	3	. however ,	9	Human 2	5, 13
2	3	on kayaking or	3	Human 2	11, 13
2	3	or any other	5	Human 2	7, 11
4	2	, i	7	Human 2	5, 7, 9, 11
4	2	information on	7	Human 2	5, 7, 9, 11
2	2	help you	3	Human 2	3, 5
5	1	i	9	Human 2	3, 5, 7, 9, 11
4	1	or	7	Human 2	7, 9, 11, 13
3	1	any	7	Human 2	5, 7, 11
3	1	have	5	Human 2	9, 11, 13
3	1	to	7	Human 2	9, 11, 15
2	1	can	3	Human 2	3, 5
2	1	football	3	Human 2	7, 9
2	1	games	5	Human 2	5, 9
2	1	in	7	Human 2	9, 15
2	1	not	7	Human 2	7, 13
2	1	that	9	Human 2	7, 15

