Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	6	i'm just an ai , i	5	Human 2	3, 7
2	5	ai , i don't have	7	Human 2	3, 9
2	4	i don't have personal	3	Human 2	3, 5
2	3	i'm not sure	3	Human 2	11, 13
4	2	, i	9	Human 2	1, 3, 7, 9
3	2	i'm just	7	Human 2	3, 7, 9
2	2	, but	3	Human 2	3, 5
2	2	but i	9	Human 2	5, 13
2	2	dance with	9	Human 2	5, 13
2	2	or memories	3	Human 2	3, 5
2	2	to dance	5	Human 2	7, 11
6	1	i	13	Human 2	1, 3, 5, 7, 9, 13
4	1	have	7	Human 2	3, 5, 7, 9
4	1	you	13	Human 2	1, 3, 11, 13
3	1	or	7	Human 2	3, 5, 9
3	1	the	5	Human 2	3, 5, 7
2	1	a	5	Human 2	9, 13
2	1	can	13	Human 2	1, 13
2	1	interact	3	Human 2	3, 5
2	1	like	13	Human 2	1, 13
2	1	me	3	Human 2	1, 3
2	1	met	3	Human 2	1, 3
2	1	online	3	Human 2	3, 5
2	1	that	9	Human 2	3, 11
2	1	with	9	Human 2	5, 13

