Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	2	, but	5	Human 1	6, 10
2	2	do you	3	Human 1	10, 12
2	2	that is	5	Human 1	10, 14
2	2	yourself ?	3	Human 1	2, 4
5	1	i	13	Human 1	4, 10, 12, 14, 16
4	1	a	11	Human 1	4, 6, 12, 14
4	1	is	11	Human 1	6, 10, 14, 16
3	1	haha	5	Human 1	6, 8, 10
3	1	just	11	Human 1	2, 4, 12
2	1	at	7	Human 1	4, 10
2	1	good	11	Human 1	6, 16
2	1	how	13	Human 1	4, 16
2	1	in	5	Human 1	6, 10
2	1	live	5	Human 1	8, 12
2	1	that	5	Human 1	10, 14
2	1	the	13	Human 1	4, 16
2	1	to	11	Human 1	2, 12
2	1	was	3	Human 1	10, 12
2	1	you	3	Human 1	10, 12

