Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	2	, how	4	4	1	Human 2	1, 4
2	2	2	, it	10	4	1	Human 2	7, 10
2	2	2	banging her	5	2	1	Human 1	4, 5
2	2	2	one ,	12	6	1	Human 2	7, 12
7	7	1	and	5	12	1	Human 1	4, 5, 11, 12, 13, 14, 15
7	7	1	i	5	12	1	Human 1	2, 5, 7, 8, 10, 11, 13
7	7	1	i'm	3	14	1	Human 1	2, 3, 5, 9, 10, 11, 15
5	5	1	a	7	10	2	Human 1	2, 4, 7, 9, 11
5	5	1	if	6	8	1	Human 2	5, 6, 7, 11, 12
5	5	1	to	8	9	2	Human 2	3, 5, 8, 9, 11
5	5	1	you	6	12	2	Human 2	1, 5, 6, 8, 12
4	4	1	can	8	11	1	Human 2	3, 8, 11, 13
4	4	1	don't	14	10	3	Human 2	5, 7, 11, 14
4	3	1	it	10	6	1	Human 2	7, 10, 11, 12
4	4	1	just	11	12	2	Human 1	4, 10, 11, 15
3	1	1	one	13	7	1	Human 2	7, 12, 13
3	3	1	where	13	8	2	Human 1	6, 8, 13
3	3	1	would	7	4	1	Human 1	6, 7, 9
3	3	1	zipline	9	7	1	Human 1	8, 9, 14
2	2	1	are	8	8	1	Human 2	1, 8
2	2	1	could	7	2	1	Human 1	6, 7
2	2	1	drink	15	2	1	Human 1	14, 15
2	1	1	her	5	2	1	Human 1	4, 5
2	2	1	idea	13	10	1	Human 1	4, 13
2	2	1	in	13	6	1	Human 1	8, 13
2	2	1	invent	13	2	1	Human 1	12, 13
2	2	1	is	4	2	1	Human 2	3, 4
2	2	1	on	11	6	1	Human 1	6, 11
2	2	1	rainforests	9	2	1	Human 1	8, 9
2	2	1	so	5	2	1	Human 1	4, 5
2	2	1	your	11	8	1	Human 1	4, 11

