Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
4	4	5	cooking classes over the weekends	9	8	1	Human 1	6, 9, 11, 13
2	2	4	and your family for	13	2	1	Human 1	12, 13
3	3	3	last weekend ?	3	4	1	Human 1	2, 3, 5
2	2	3	how was the	7	6	1	Human 1	2, 7
5	1	2	over the	12	8	1	Human 1	6, 9, 11, 12, 13
3	3	2	, i	12	10	2	Human 2	3, 5, 12
3	3	2	did you	7	6	1	Human 1	4, 7, 9
3	1	2	how was	9	8	1	Human 1	2, 7, 9
2	2	2	sure ,	13	2	1	Human 1	12, 13
2	2	2	true !	11	4	1	Human 1	8, 11
9	2	1	the	5	12	1	Human 1	2, 5, 6, 7, 9, 10, 11, 12, 13
6	2	1	cooking	7	8	1	Human 1	6, 7, 8, 9, 11, 13
5	3	1	i	6	10	2	Human 2	3, 5, 6, 10, 12
5	5	1	to	10	9	1	Human 2	5, 10, 11, 12, 13
5	5	1	try	8	7	1	Human 2	7, 8, 9, 11, 13
4	1	1	did	5	6	1	Human 1	4, 5, 7, 9
4	1	1	was	3	8	1	Human 1	2, 3, 7, 9
4	1	1	you	12	9	1	Human 1	4, 7, 9, 12
3	3	1	a	12	3	1	Human 2	11, 12, 13
3	1	1	and	12	3	1	Human 2	11, 12, 13
3	1	1	for	13	4	2	Human 1	10, 12, 13
3	3	1	have	12	10	2	Human 2	3, 5, 12
3	1	1	your	12	3	1	Human 2	11, 12, 13
2	2	1	any	12	6	1	Human 2	7, 12
2	2	1	cover	5	2	1	Human 1	4, 5
2	2	1	dish	9	2	1	Human 1	8, 9
2	2	1	holidays	13	2	1	Human 1	12, 13
2	2	1	love	13	2	1	Human 1	12, 13
2	2	1	meal	13	2	1	Human 1	12, 13
2	2	1	places	5	2	1	Human 1	4, 5
2	2	1	some	9	2	1	Human 1	8, 9

