Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	you know that	3	Human 2	13, 15
2	2	, you	3	Human 2	11, 13
2	2	have been	3	Human 2	13, 15
2	2	in japan	3	Human 2	9, 11
2	2	you live	5	Human 2	7, 11
5	1	you	9	Human 2	7, 9, 11, 13, 15
4	1	to	11	Human 2	3, 9, 11, 13
3	1	and	5	Human 2	11, 13, 15
3	1	have	9	Human 2	7, 13, 15
3	1	japan	5	Human 2	9, 11, 13
3	1	live	5	Human 2	7, 9, 11
3	1	sapporo	5	Human 2	11, 13, 15
3	1	where	5	Human 2	5, 7, 9
3	1	work	7	Human 2	5, 9, 11
2	1	a	9	Human 2	5, 13
2	1	if	3	Human 2	11, 13
2	1	the	3	Human 2	13, 15
2	1	up	3	Human 2	1, 3
2	1	what's	3	Human 2	1, 3
2	1	you're	9	Human 2	5, 13

